id,sigma_xx,sigma_yy,sigma_zz,tau_xy,tau_yz,tau_zx,sigma_Y,temperature_c,strain_rate,batch_id,yielded
175,32.9267,7.96857,-82.4331,-73.6205,-133.828,30.795,211.229,37.933,0.0638541,14,1
176,-126.708,31.7447,31.4306,-11.3876,-46.5729,119.426,234.361,36.6423,0.00304956,2,1
177,-252.874,62.8064,40.6944,-37.4487,45.6881,-89.0667,230.361,65.2188,0.00421457,20,1
178,-25.6396,160.469,-96.6195,-20.1528,-79.8059,39.0758,257.419,30.8728,0.000223759,4,1
179,143.281,-99.4787,71.8539,57.8911,-18.4717,-61.8517,202.667,115.752,0.0713032,8,1
180,94.4206,-159.812,-71.0756,106.731,23.2287,-91.1181,218.26,60.664,0.00304801,8,1
181,-156.979,55.0061,104.583,-135.69,-41.379,10.9051,218.051,95.3133,0.092333,2,1
182,-25.5306,-212.148,-288.261,56.5692,-70.0381,-20.7867,270.953,111.957,0.0694689,14,1
183,60.441,-129.287,99.4341,167.504,-107.428,68.907,196.837,66.5376,0.0144743,15,1
184,52.3799,90.0405,-193.669,-247.297,-4.50408,-41.1578,238.501,67.5983,0.00228829,19,1
185,-68.5299,-61.645,103.577,-33.0947,30.4655,47.0528,199.028,72.8768,0.00163354,12,1
186,105.11,-148.359,-15.0171,93.7126,137.573,-39.5435,236.175,49.206,0.0765099,18,1
187,45.6891,-24.6656,86.2759,40.2092,-15.9669,18.8469,206.683,105.484,0.00064562,13,0
188,91.6714,-211.083,155.252,-149.005,-15.3749,-49.6288,171.521,23.9458,0.0583453,6,1
189,-110.42,-14.0941,141.105,-138.342,-8.81262,114.06,150.213,82.2638,0.00256672,1,1
190,-73.2066,62.6551,-26.6841,132.295,153.383,53.4286,232.922,42.6032,0.00220303,14,1
191,-158.391,15.0128,-115.026,66.175,-32.2625,-1.97364,174.319,98.6159,0.00281402,19,1
192,-35.9111,-69.1128,66.2897,209.704,77.7505,-113.705,245.222,24.6876,0.000102506,2,1
193,109.989,-222.537,-42.3707,60.3882,-173.916,-94.678,198.795,62.9879,0.0128541,13,1
194,51.183,60.1339,77.9569,109.504,-71.8509,-34.975,246.89,48.3475,0.0278347,11,0
195,31.7921,78.481,-58.4196,-80.1645,-7.28418,-38.0535,215.521,69.8488,0.00431152,10,0
196,-30.6185,71.6504,-60.7797,71.8226,170.815,118.341,222.481,108.42,0.0152204,20,1
197,28.1518,27.745,-15.1764,58.1363,-73.8097,58.5588,214.353,119.643,0.00378177,13,0
198,19.413,139.92,-90.269,10.7575,-11.8479,73.7293,222.754,90.9754,0.000130089,15,1
199,-18.998,48.4183,172.612,57.859,-29.3177,-65.3678,254.813,81.0055,0.000192827,16,0
200,4.30881,37.6473,44.4402,99.4595,0.657324,-45.4565,236.6,75.7989,0.00202642,9,0
201,-15.1958,-49.646,42.0047,123.09,15.4373,-173.296,191.986,48.2109,0.000223811,21,1
202,110.147,-98.0604,-21.0809,-67.3806,-70.5173,-17.29,189.961,38.0968,0.00415017,1,1
203,-53.5993,167.82,-13.3187,22.481,-115.176,2.83683,220.045,22.5396,0.000103177,3,1
204,52.9793,-55.0582,-35.9507,85.0563,16.723,19.086,199.94,103.234,0.000184856,22,0
205,27.223,-72.7846,43.8541,-36.1986,56.3992,-64.7788,160.991,95.8618,0.000541514,19,1
206,230.748,118.346,-133.443,-93.8019,-1.70641,-136.515,257.826,63.0127,0.000279616,24,1
207,90.9674,68.3228,101.953,-128.778,-41.3412,-17.4349,275.508,70.2356,0.04403,13,0
208,40.0242,55.8404,-107.978,168.311,-190.344,150.259,221.499,46.2364,0.000397409,18,1
209,-49.1695,-50.0103,16.798,7.33413,-58.668,-18.7565,200.781,49.1147,0.000567781,3,0
210,43.4072,8.33076,-39.4097,28.6617,186.866,34.2946,220.339,91.9237,0.0248391,9,1
211,65.9731,-108.563,-41.3232,110.252,110.68,-2.46059,200.532,80.491,0.0166671,8,1
212,104.839,114.104,99.5794,110.402,-52.7264,-33.3745,197.276,57.0356,0.000244868,19,1
213,47.1777,60.2882,-218.901,65.7818,3.1049,-167.664,223.859,58.3547,0.000588024,21,1
214,52.2074,12.8246,-163.825,21.1628,-167.194,225.487,194.779,106.417,0.00822708,16,1
215,6.75573,90.0138,-125.354,-18.7025,-54.9949,1.80957,213.862,100.09,0.00137698,22,0
216,52.8541,-163.178,-55.5363,236.351,-35.376,-151.834,212.389,102.18,0.000546503,17,1
217,1.39658,-75.4084,-79.5231,-80.6299,-75.9017,20.1561,170.415,86.2542,0.000590056,10,0
218,159.055,70.2827,-155.488,47.9916,65.528,92.2769,191.391,80.0577,0.0124815,24,1
219,-87.7638,53.3021,106.999,17.4972,-23.6303,-121.931,204.76,51.9473,0.000151723,20,1
220,6.37137,-61.4094,25.3401,-64.6609,41.9977,-134.641,187.358,94.5766,0.00302519,16,1
221,-36.2415,-97.2248,-79.9989,-151.912,77.9806,-111.662,253.09,79.0244,0.00260301,11,1
222,87.2967,-102.096,14.7025,39.6395,59.1093,7.28773,207.939,81.6538,0.00373867,11,1
223,-29.2094,-45.2033,-85.879,-18.694,42.7931,-95.282,224.661,62.459,0.0385168,23,0
224,155.654,144.502,27.7226,-153.085,32.0929,190.141,215.408,71.2275,0.00161082,11,1
225,-57.285,44.9415,89.2895,3.08284,-105.375,-11.4925,241.672,69.443,0.000200445,7,0
226,196.533,-124.228,63.3216,-30.1125,17.5803,13.1636,186.219,22.6319,0.000128764,13,1
227,-2.53724,33.5226,24.3426,-0.462646,63.3089,-18.6385,239.311,119.129,0.000720273,9,0
228,26.0113,-61.9733,-108.968,24.1287,147.184,-83.4826,202.915,63.8813,0.0012959,0,1
229,81.1812,-33.2004,-124.235,-23.8234,-63.4496,43.6385,205.245,102.864,0.0422413,20,1
230,-26.1417,56.2674,-103.929,-90.1993,-46.0974,-68.3646,228.064,91.5389,0.000765295,6,1
231,74.34,-14.9804,-56.0371,37.7015,66.102,-83.0103,250.861,101.354,0.00358468,5,1
232,-116.154,-16.1538,-50.4905,-119.905,-71.3391,-142.397,194.965,32.902,0.000152353,18,1
233,65.4528,-105.159,-83.6371,-5.318,74.1104,134.703,208.897,67.657,0.00208359,3,1
234,132.112,30.1494,-44.3762,-200.88,-172.551,24.3477,253.464,65.8269,0.000191821,10,1
235,-21.2661,-21.9375,-32.0521,-41.0181,19.4364,-48.3658,223.096,38.6594,0.00820677,11,0
236,82.4335,88.5015,-125.408,55.9453,-60.3827,3.42541,248.012,82.1338,0.0731899,11,1
237,-43.524,71.9355,6.16538,-117.718,43.1969,73.7499,210.233,104.136,0.00025502,12,1
238,-108.594,-184.924,80.0836,53.3549,-24.5339,22.4704,237.52,96.6306,0.000831554,12,1
239,66.3801,15.5133,12.1125,25.3857,-104.322,207.728,213.084,32.0129,0.00651605,14,1
240,42.1771,-22.3421,-26.3406,-20.6603,-139.612,14.7444,227.361,37.9977,0.00103095,4,1
241,30.3696,-8.02243,-55.3188,-54.8148,28.2677,-69.6764,241.897,62.5572,0.000822403,5,0
242,48.8181,-23.7852,-73.6255,-146.164,25.8851,-95.9046,257.289,70.0539,0.00071614,20,1
243,19.5296,-100.436,53.5563,55.9987,4.31885,0.268065,215.262,31.6484,0.0130537,7,0
244,9.27317,216.933,46.403,-216.624,28.3054,118.906,237.962,49.661,0.000491286,16,1
245,33.6547,98.016,130.003,10.9886,109.595,-53.9044,211.856,51.1043,0.000246435,14,0
246,183.232,9.3704,42.3873,29.5126,39.3416,-97.1291,195.209,82.8125,0.000137449,18,1
247,-37.5964,-149.551,97.9334,-56.7577,56.7858,71.0037,243.317,23.3722,0.0556652,16,1
248,-38.6016,-3.25502,27.0427,-86.6835,47.6925,62.9288,201.547,103.942,0.000311615,7,0
249,-44.8222,-111,-152.673,-198.71,141.985,-76.9365,165.034,85.9007,0.000323719,10,1
250,136.304,36.9485,58.2152,13.0189,198.404,87.4317,260.715,78.788,0.0683158,22,1
251,81.9638,108.907,-127.959,63.3743,69.5529,-56.1267,208.475,22.451,0.0998618,8,1
252,-111.04,8.35187,69.1407,52.6047,215.058,84.661,208.236,84.2256,0.00277304,3,1
253,-38.5776,-61.0006,-36.9771,-44.9042,-21.3059,-14.3987,217.077,34.6631,0.00831552,22,0
254,151.618,24.6717,80.3084,-48.4244,-3.40576,29.9415,189.74,106.205,0.000206124,17,0
255,-9.49367,-68.284,39.1458,-98.4941,147.119,51.0695,205.954,54.1861,0.097582,22,1
256,36.0746,-72.3,124.617,12.1632,135.069,-15.032,213.101,48.3341,0.00147476,4,1
257,28.8298,-24.7992,-146.309,104.534,42.2068,12.6877,183.285,99.1247,0.000159519,6,1
258,-46.1931,10.9768,80.9447,154.607,-150.89,77.0268,226.283,42.4096,0.00100811,21,1
259,93.9277,-154.157,-174.319,-88.3332,-124.792,-23.6117,213.59,55.0543,0.0377084,5,1
260,-25.9072,-176.536,-52.673,-114.246,-34.6918,-197.621,269.943,48.901,0.000560733,13,1
261,-11.2609,63.8901,-60.3862,13.3428,88.9608,75.0293,198.799,99.0263,0.047374,16,1
262,-74.9229,151.62,118.473,37.3069,68.905,54.3099,199.991,41.6898,0.000812088,18,1
263,110.142,52.5153,-67.0095,-133.381,10.2509,32.2468,188.524,116.103,0.0506477,6,1
264,6.74076,-55.1731,45.9885,0.469138,74.1676,-50.4827,271.583,112.886,0.00037068,5,0
265,-38.5605,26.9086,-223.832,95.4983,-124.337,86.3322,198.554,106.375,0.0611732,14,1
266,103.486,77.1227,89.4221,-41.7435,-35.0258,71.6053,277.821,66.5528,0.00412115,2,0
267,111.334,-97.7839,8.99781,67.2558,36.8927,-28.9635,261.103,24.0828,0.000400248,7,1
